2014-08-07 11:22:56 -- Set ruoxCoefsHigh to (-0.31994119999999998, 5.74884e-08, -8.8408999999999999e-11)
2014-08-07 11:22:56 -- Set ruoxCoefsLow to (-0.77127000000000001, 0.00010068000000000001, -1.072e-09)
2014-08-07 11:22:56 -- Set highTempRuoxCurve to <function <lambda> at 0x033CBB70>
2014-08-07 11:22:56 -- Set lowTempRuoxCurve to <function <lambda> at 0x033CBDB0>
2014-08-07 11:22:56 -- Set voltToResCalibs to (0.26000000000000001, 26.030000000000001, 37.5, 30.0, 10.0, 26.530000000000001)
2014-08-07 11:22:56 -- Set resistanceCutoff to 1725.78
2014-08-07 11:22:56 -- Set ruoxChannel to 3
2014-08-07 11:22:56 -- Set PIDintLimit to 0.4
2014-08-07 11:22:56 -- Set voltageStepUp to 0.004
2014-08-07 11:22:56 -- Set loglimit to 20
2014-08-07 11:22:56 -- Set autoRecord to True
2014-08-07 11:22:56 -- Set recordingTemp to 250
2014-08-07 11:22:56 -- Set cooldownLimit to 3.9
2014-08-07 11:22:56 -- Set switchPosition to 5
2014-08-07 11:22:56 -- Set quenchLimit to 4.0
2014-08-07 11:22:56 -- Set PIDsetTemp to 0.1
2014-08-07 11:22:56 -- Set PIDcd to 25
2014-08-07 11:22:56 -- Set PIDstepTimeout to 5
2014-08-07 11:22:56 -- Set autoControl to False
2014-08-07 11:22:56 -- Set fieldWaitTime to 45
2014-08-07 11:22:56 -- Set ruoxInterpolation to <scipy.interpolate.fitpack2.InterpolatedUnivariateSpline object at 0x033D0FD0>
2014-08-07 11:22:56 -- Set useRuoxInterpolation to True
2014-08-07 11:22:56 -- Set targetCurrent to 8.0
2014-08-07 11:22:56 -- Set rampWaitTime to 0.2
2014-08-07 11:22:56 -- Set PIDci to 0.4
2014-08-07 11:22:56 -- Set PIDcp to 1.0
2014-08-07 11:22:56 -- Set recordTemp to False
2014-08-07 11:22:56 -- Set voltageLimit to 0.14
2014-08-07 11:22:56 -- Set lockinCurrent to 1e-09
2014-08-07 11:22:56 -- Set maxCurrent to 9.0
2014-08-07 11:22:56 -- Set tempRecordDelay to 10
2014-08-07 11:22:56 -- Set voltageStepDown to 0.004
2014-08-07 11:22:56 -- Initialization completed. Beginning cycle.
2014-08-07 11:22:56 -- cycled
2014-08-07 11:22:56 -- Set alive to True
2014-08-07 11:22:56 -- Now cycling.
2014-08-07 11:22:57 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-07 15:53:46 -- Set voltToResCalibs to (Value(0.26000000000000001, 'V/Ohm'), Value(26.030000000000001, 'V/Ohm'), Value(37.5, 'V/Ohm'), Value(30.0, 'V/Ohm'), Value(10.0, 'V/Ohm'), Value(26.530000000000001, 'V/Ohm'))
2014-08-07 15:53:46 -- Set resistanceCutoff to 1725.78
2014-08-07 15:53:46 -- Set ruoxChannel to 3
2014-08-07 15:53:46 -- Set PIDintLimit to 0.4
2014-08-07 15:53:46 -- Set ruoxInterpolation to <scipy.interpolate.fitpack2.InterpolatedUnivariateSpline object at 0x040D4B90>
2014-08-07 15:53:46 -- Set useRuoxInterpolation to True
2014-08-07 15:53:46 -- Set voltageStepUp to 0.004
2014-08-07 15:53:46 -- Set loglimit to 20
2014-08-07 15:53:46 -- Set autoRecord to True
2014-08-07 15:53:46 -- Set recordingTemp to 250.0 K
2014-08-07 15:53:46 -- Set cooldownLimit to 3.9 K
2014-08-07 15:53:46 -- Set switchPosition to 5
2014-08-07 15:53:46 -- Set quenchLimit to 4.0
2014-08-07 15:53:46 -- Set PIDsetTemp to 0.1
2014-08-07 15:53:46 -- Set PIDcd to 25
2014-08-07 15:53:46 -- Set PIDstepTimeout to 5
2014-08-07 15:53:46 -- Set autoControl to False
2014-08-07 15:53:46 -- Set fieldWaitTime to 45
2014-08-07 15:53:46 -- Set targetCurrent to 8.0
2014-08-07 15:53:46 -- Set rampWaitTime to 0.2
2014-08-07 15:53:46 -- Set PIDci to 0.4
2014-08-07 15:53:46 -- Set PIDcp to 1.0
2014-08-07 15:53:46 -- Set recordTemp to False
2014-08-07 15:53:46 -- Set voltageLimit to 0.14
2014-08-07 15:53:46 -- Set lockinCurrent to 1.0 nA
2014-08-07 15:53:46 -- Set maxCurrent to 9.0
2014-08-07 15:53:46 -- Set tempRecordDelay to 10
2014-08-07 15:53:46 -- Set voltageStepDown to 0.004
2014-08-07 15:53:46 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:53:46 -- None
2014-08-07 15:53:47 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:53:47 -- None
2014-08-07 15:53:48 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:53:49 -- None
2014-08-07 15:53:50 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:53:50 -- None
2014-08-07 15:53:51 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:53:51 -- None
2014-08-07 15:53:52 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:53:52 -- None
2014-08-07 15:53:53 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:53:53 -- None
2014-08-07 15:53:54 -- Exception in cycle loop: (12345) Could not flatten 0.079801300000000006 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:53:54 -- None
2014-08-07 15:53:55 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:53:55 -- None
2014-08-07 15:53:56 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:53:56 -- None
2014-08-07 15:53:57 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:53:57 -- None
2014-08-07 15:53:58 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:53:58 -- None
2014-08-07 15:53:59 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:53:59 -- None
2014-08-07 15:54:00 -- Exception in cycle loop: (12345) Could not flatten 0.079801300000000006 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:00 -- None
2014-08-07 15:54:02 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:02 -- None
2014-08-07 15:54:03 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:03 -- None
2014-08-07 15:54:04 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:04 -- None
2014-08-07 15:54:05 -- Exception in cycle loop: (12345) Could not flatten 0.079801300000000006 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:05 -- None
2014-08-07 15:54:06 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:06 -- None
2014-08-07 15:54:07 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:07 -- None
2014-08-07 15:54:08 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:08 -- None
2014-08-07 15:54:09 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:09 -- None
2014-08-07 15:54:10 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:10 -- None
2014-08-07 15:54:11 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:11 -- None
2014-08-07 15:54:12 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:12 -- None
2014-08-07 15:54:14 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:14 -- None
2014-08-07 15:54:15 -- Exception in cycle loop: (12345) Could not flatten 0.079801300000000006 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:15 -- None
2014-08-07 15:54:16 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:16 -- None
2014-08-07 15:54:17 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:17 -- None
2014-08-07 15:54:18 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:18 -- None
2014-08-07 15:54:19 -- Exception in cycle loop: (12345) Could not flatten 0.079801300000000006 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:19 -- None
2014-08-07 15:54:20 -- Exception in cycle loop: (12345) Could not flatten 0.079801300000000006 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:20 -- None
2014-08-07 15:54:21 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:21 -- None
2014-08-07 15:54:22 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:22 -- None
2014-08-07 15:54:23 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:23 -- None
2014-08-07 15:54:25 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:25 -- None
2014-08-07 15:54:26 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:26 -- None
2014-08-07 15:54:27 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:27 -- None
2014-08-07 15:54:28 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:28 -- None
2014-08-07 15:54:29 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:29 -- None
2014-08-07 15:54:30 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:30 -- None
2014-08-07 15:54:31 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:31 -- None
2014-08-07 15:54:32 -- Exception in cycle loop: (12345) Could not flatten 0.079801300000000006 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:32 -- None
2014-08-07 15:54:33 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:33 -- None
2014-08-07 15:54:34 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:34 -- None
2014-08-07 15:54:35 -- Exception in cycle loop: (12345) Could not flatten 0.079801300000000006 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:35 -- None
2014-08-07 15:54:37 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:37 -- None
2014-08-07 15:54:38 -- Exception in cycle loop: (12345) Could not flatten 0.079801300000000006 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:38 -- None
2014-08-07 15:54:39 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:39 -- None
2014-08-07 15:54:40 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:40 -- None
2014-08-07 15:54:41 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:41 -- None
2014-08-07 15:54:42 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:42 -- None
2014-08-07 15:54:43 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:43 -- None
2014-08-07 15:54:44 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:44 -- None
2014-08-07 15:54:45 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:45 -- None
2014-08-07 15:54:46 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:46 -- None
2014-08-07 15:54:47 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:47 -- None
2014-08-07 15:54:49 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:49 -- None
2014-08-07 15:54:50 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:50 -- None
2014-08-07 15:54:51 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:51 -- None
2014-08-07 15:54:52 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:52 -- None
2014-08-07 15:54:53 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:53 -- None
2014-08-07 15:54:54 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:54 -- None
2014-08-07 15:54:55 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:55 -- None
2014-08-07 15:54:56 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:56 -- None
2014-08-07 15:54:57 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:57 -- None
2014-08-07 15:54:58 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:58 -- None
2014-08-07 15:54:59 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:54:59 -- None
2014-08-07 15:55:01 -- Exception in cycle loop: (12345) Could not flatten 0.079801300000000006 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:01 -- None
2014-08-07 15:55:02 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:02 -- None
2014-08-07 15:55:03 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:03 -- None
2014-08-07 15:55:04 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:04 -- None
2014-08-07 15:55:05 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:05 -- None
2014-08-07 15:55:06 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:06 -- None
2014-08-07 15:55:07 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:07 -- None
2014-08-07 15:55:08 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:08 -- None
2014-08-07 15:55:09 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:09 -- None
2014-08-07 15:55:10 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:10 -- None
2014-08-07 15:55:11 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:11 -- None
2014-08-07 15:55:12 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:12 -- None
2014-08-07 15:55:14 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:14 -- None
2014-08-07 15:55:15 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:15 -- None
2014-08-07 15:55:16 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:16 -- None
2014-08-07 15:55:17 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:17 -- None
2014-08-07 15:55:18 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:18 -- None
2014-08-07 15:55:19 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:19 -- None
2014-08-07 15:55:20 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:20 -- None
2014-08-07 15:55:21 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:21 -- None
2014-08-07 15:55:22 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:22 -- None
2014-08-07 15:55:23 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:23 -- None
2014-08-07 15:55:24 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:24 -- None
2014-08-07 15:55:26 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:26 -- None
2014-08-07 15:55:27 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:27 -- None
2014-08-07 15:55:28 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:28 -- None
2014-08-07 15:55:29 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:29 -- None
2014-08-07 15:55:30 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:30 -- None
2014-08-07 15:55:31 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:31 -- None
2014-08-07 15:55:32 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:32 -- None
2014-08-07 15:55:33 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:33 -- None
2014-08-07 15:55:34 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:34 -- None
2014-08-07 15:55:35 -- Exception in cycle loop: (12345) Could not flatten 0.079801300000000006 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:35 -- None
2014-08-07 15:55:37 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:37 -- None
2014-08-07 15:55:38 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:38 -- None
2014-08-07 15:55:39 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:39 -- None
2014-08-07 15:55:40 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:40 -- None
2014-08-07 15:55:41 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:41 -- None
2014-08-07 15:55:42 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:42 -- None
2014-08-07 15:55:43 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:43 -- None
2014-08-07 15:55:44 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:44 -- None
2014-08-07 15:55:45 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:45 -- None
2014-08-07 15:55:46 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:46 -- None
2014-08-07 15:55:47 -- Exception in cycle loop: (12345) Could not flatten 0.079801300000000006 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:47 -- None
2014-08-07 15:55:49 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:49 -- None
2014-08-07 15:55:50 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:50 -- None
2014-08-07 15:55:51 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:51 -- None
2014-08-07 15:55:52 -- Exception in cycle loop: (12345) Could not flatten 0.079801300000000006 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:52 -- None
2014-08-07 15:55:53 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:53 -- None
2014-08-07 15:55:54 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:54 -- None
2014-08-07 15:55:55 -- Exception in cycle loop: (12345) Could not flatten 0.079801300000000006 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:55 -- None
2014-08-07 15:55:56 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:56 -- None
2014-08-07 15:55:57 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:57 -- None
2014-08-07 15:55:58 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:58 -- None
2014-08-07 15:55:59 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:55:59 -- None
2014-08-07 15:56:00 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:56:00 -- None
2014-08-07 15:56:02 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:56:02 -- None
2014-08-07 15:56:03 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:56:03 -- None
2014-08-07 15:56:04 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:56:04 -- None
2014-08-07 15:56:05 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:56:05 -- None
2014-08-07 15:56:06 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:56:06 -- None
2014-08-07 15:56:07 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:56:07 -- None
2014-08-07 15:56:08 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:56:08 -- None
2014-08-07 15:56:09 -- Exception in cycle loop: (12345) Could not flatten 0.079801300000000006 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:56:09 -- None
2014-08-07 15:56:10 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:56:10 -- None
2014-08-07 15:56:11 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:56:11 -- None
2014-08-07 15:56:12 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:56:13 -- None
2014-08-07 15:56:14 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:56:14 -- None
2014-08-07 15:56:15 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:56:15 -- None
2014-08-07 15:56:16 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:56:16 -- None
2014-08-07 15:56:17 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:56:17 -- None
2014-08-07 15:56:18 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
Setting ID 10002. [payload=None]
2014-08-07 15:56:18 -- None
2014-08-07 15:56:19 -- Exception in cycle loop: (12345) Could not flatten 0.081992300000000004 to v[V].
